id;latitude;longitude;score;UGA
910010594;48,318962;2,088002;135;28CHA
910011865;48,349413;1,992183;22;28CHA
430001206;45,050795;3,884679;101;43LPU
430001222;45,196403;3,710098;46;43LPU
430001305;45,384498;3,362588;135;43LPU
430001321;45,010706;3,781244;132;43LPU
430001420;45,364846;3,308459;149;43LPU
430001453;45,291373;3,385442;133;43LPU
430001487;45,292963;3,384921;54;43LPU
430001503;45,29416;3,380399;25;43LPU
430001552;45,307782;3,376488;29;43LPU
430001602;45,047298;3,925728;166;43LPU
430001636;45,06323;3,903487;87;43LPU
430001651;45,052943;3,89809;194;43LPU
430001784;44,996188;3,918028;140;43LPU
430001883;45,046713;3,865157;95;43LPU
430001982;45,105152;3,497295;162;43LPU
430002014;45,100165;3,495025;92;43LPU
430002030;45,000086;4,00913;182;43LPU
430002204;45,152906;3,405412;176;43LPU
430002253;45,382408;3,269767;27;43LPU
430002287;45,084676;3,752274;45;43LPU
430002303;44,939149;3,99437;62;43LPU
430002402;45,207745;3,514614;115;43LPU
430002436;45,068568;3,856907;48;43LPU
430002501;45,030881;3,899202;82;43LPU
430002535;45,042075;3,882425;43;43LPU
430002550;45,042864;3,884132;166;43LPU
430002584;45,03046;3,883139;21;43LPU
430002600;45,042129;3,885664;153;43LPU
430002634;45,042036;3,886052;66;43LPU
430002683;45,046235;3,896496;200;43LPU
430002717;45,034156;3,88835;186;43LPU
430002766;45,041837;3,880114;74;43LPU
430002873;45,405783;3,320651;56;43LPU
430002907;45,404314;3,318832;134;43LPU
430002923;45,037399;3,96768;98;43LPU
430002956;45,036262;4,060586;109;43LPU
430003087;45,134366;3,815077;119;43LPU
430003152;44,959326;3,54597;157;43LPU
430003236;45,093057;3,626884;59;43LPU
430003251;44,969825;3,881102;189;43LPU
430003301;45,027046;3,878477;129;43LPU
430003335;45,029451;3,878682;91;43LPU
430003350;45,373822;3,317973;35;43LPU
430003517;45,056235;3,980968;175;43LPU
630003382;45,413063;3,329748;71;43LPU
230001745;46,35404;1,476686;92;36LBL
230003097;46,389933;1,531872;157;36LBL
360001267;46,851436;1,068784;48;36LBL
360001283;46,552818;1,158983;118;36LBL
360001333;46,633852;1,063512;196;36LBL
360001366;46,633236;1,062314;45;36LBL
360001382;46,632803;1,063982;159;36LBL
360001416;46,6327;1,062951;82;36LBL
360001507;46,434479;1,299044;111;36LBL
360002067;46,988858;1,171785;47;36LBL
360002117;46,986503;1,173656;106;36LBL
360002281;46,941972;1,23246;93;36LBL
360002745;46,820235;1,210951;148;36LBL
360002828;46,606613;1,49692;149;36LBL
360003115;46,440825;1,390494;75;36LBL
360003180;46,640057;1,42449;41;36LBL
370007445;46,969421;1,027296;43;36LBL
860009901;46,398644;1,090041;57;36LBL
860786979;46,466105;1,041208;157;36LBL
870013091;46,345691;1,173797;115;36LBL
870014214;46,31746;1,368781;98;36LBL
090003542;42,696162;2,100366;182;66PRA
660004011;42,5046;2,039912;49;66PRA
660787961;42,702416;2,827033;143;66PRA
660788027;42,509486;2,07339;67;66PRA
660788076;42,433741;1,941621;159;66PRA
660788274;42,459569;1,904726;160;66PRA
660788308;42,772305;2,699049;87;66PRA
660788357;42,676261;2,631091;71;66PRA
660788365;42,669989;2,620561;181;66PRA
660788373;42,670445;2,621131;105;66PRA
660788399;42,76804;2,657986;76;66PRA
660788407;42,577558;2,071704;109;66PRA
660788423;42,809917;2,591373;129;66PRA
660788431;42,687892;2,695574;99;66PRA
660788449;42,508301;2,121726;85;66PRA
660788456;42,555108;2,270407;56;66PRA
660788464;42,414729;1,980879;103;66PRA
660789041;42,696752;2,769938;129;66PRA
660789090;42,62321;2,424213;115;66PRA
660789108;42,616628;2,42317;106;66PRA
660789116;42,617542;2,422414;56;66PRA
660789124;42,404047;2,480729;45;66PRA
660789132;42,605901;2,396998;75;66PRA
660789173;42,456106;2,035167;162;66PRA
660789264;42,682561;2,735278;117;66PRA
660789330;42,808878;2,497967;57;66PRA
660789389;42,681703;2,795083;61;66PRA
660789397;42,684258;2,809856;118;66PRA
660789413;42,727529;2,442812;152;66PRA
660789421;42,813567;2,745774;176;66PRA
660789504;42,545394;2,390398;64;66PRA
660789538;42,644868;2,528947;147;66PRA
660790197;42,692534;2,688406;66;66PRA
120004577;44,434953;2,029666;21;46CAH
460003023;44,461985;1,451619;51;46CAH
460003056;44,45021;1,439926;152;46CAH
460003072;44,448489;1,442145;111;46CAH
460003106;44,439779;1,442069;97;46CAH
460003122;44,455484;1,426189;81;46CAH
460003155;44,45516;1,437613;25;46CAH
460003171;44,445075;1,441707;22;46CAH
460003205;44,443324;1,441937;135;46CAH
460003221;44,445725;1,441935;22;46CAH
460003270;44,460628;1,455074;31;46CAH
460003304;44,447524;1,440414;85;46CAH
460003320;44,48673;1,84198;170;46CAH
460003353;44,26886;1,353709;61;46CAH
460003387;44,556499;1,33746;183;46CAH
460003783;44,648737;1,568756;34;46CAH
460003833;44,338547;1,547824;34;46CAH
460003932;44,397269;1,770754;38;46CAH
460003957;44,478167;1,286698;69;46CAH
460004021;44,508805;1,408852;22;46CAH
460004104;44,467603;1,412357;79;46CAH
460004120;44,503743;1,188653;124;46CAH
460004153;44,504287;1,177717;173;46CAH
460004203;44,504355;1,136743;104;46CAH
460004336;44,6516;1,43668;194;46CAH
460004351;44,478434;1,579677;60;46CAH
460006208;44,417329;1,254421;74;46CAH
820002640;44,193683;1,367045;151;46CAH
820003325;44,238223;1,47598;52;46CAH
100001544;48,237001;4,701796;23;10BAR
100001577;48,232427;4,708006;61;10BAR
100001593;48,233012;4,706777;189;10BAR
100001627;48,233269;4,706571;23;10BAR
100001643;48,120078;4,371364;26;10BAR
100001676;48,115744;4,381914;103;10BAR
100002047;48,350819;4,53247;98;10BAR
100002237;48,058002;4,536264;155;10BAR
100002393;48,253923;4,259888;78;10BAR
100002542;47,977518;4,497779;45;10BAR
100002674;48,364151;4,33552;137;10BAR
